"","ID","Region","RiverName","Date","Lattitude","Longitude","DOC_mgL","C1_percent","C4_percent","DHg_ngL","DMeHg_ngL","DMeHg_DHg_ratio","d13C_CO2_permil","d13C_CH4_permil","alpha_CO2CH4","CO2_mgCL","CH4_mgCL","FOX","MOX_mgCL"
"279","RIV_6_Mingan","RR","Mingan","43678",50.29947,-64.02783,3.43030540623241,0.485642086258492,0.0826216443135444,0.885854668561021,0.0279422737417486,0.0315427289976785,-12.6653629370016,-55.7116360387566,1.04558594042309,0.261582378157234,0.0642866013516095,-0.0901952663605448,0
"280","RIV1-Aguanish","RR","Aguanish","43678",50.23043,-62.11249,5.02545808696485,0.505719367465177,0.0751063907034837,1.4375523398209,0.122545779087336,0.0852461337877988,-15.4638319583912,-54.5832255426386,1.04137793472799,0.382052444995326,0.0595021163350964,-0.0720970140788654,0
"281","RIV2-Pont-2-Frères","RR","Nabisipi","43678",50.23981,-62.22031,4.19811245218296,0.51652086756241,0.0603312680443534,1.33238286961452,0.045633938546405,0.034249868853093,-10.5360323322847,-54.0248045815874,1.04597242344189,0.25158608589497,0.0225423996558699,-0.052744763056754,0
"282","RIV3-Corneilles","RR","Corneilles","43678",52.28901,-62.8932,5.66269030201357,0.539910882665484,0.0465996961220133,1.36900416058742,0.0272620368042062,0.0199137720607865,-10.3336210434756,-54.669864186158,1.04690027479608,0.289371776789891,0.0275809128701658,-0.0654551428431025,0
"283","RIV4-Tonnerre","RR","Tonnerre","43678",50.27756,-64.78242,3.46082354177021,0.467102235100154,0.0968334377020215,0.816975921123194,0.0425775404508501,0.0521160285756203,-13.8019845600982,-58.8250086125873,1.04783703823889,0.305035795745886,0.10090265786452,-0.151033777979866,0
"284","RIV5-Saint-Jean","RR","Saint-Jean","43678",50.3083,-64.31675,3.23091481857705,0.468919133335847,0.0992279008036784,0.775661942440985,0.0290783720013285,0.037488460384971,-12.2042483600411,-61.9215997308494,1.05299914309566,0.221345933663207,0.238384499936459,-0.194750313457341,0
"285","RO0-35","RR","La_Romaine","43676",50.32816,-63.3714,5.78003301394898,0.536728065021005,0.0405743365156602,1.81778643419381,0.117870864839145,0.0648430765143328,-20.0432446374405,-36.5409530884399,1.01712341433077,0.959658427597311,0.0724644974076718,0.879441834476669,0.0637283105346327
"286","RO0-41","RR","La_Romaine","43676",50.31684,-63.30894,5.66034501037651,0.530413430575986,0.0540147301841981,1.53120680561684,0.119398699241661,0.0779768603454986,-16.9588033229307,-41.5574167502909,1.02566519252928,0.616830052773305,0.0846044833200329,0.39129195069368,0.0331050533157266
"287","RO0-47","RR","La_Romaine","43676",50.38251,-63.26735,5.70126610164581,0.538894061141447,0.039422059732422,1.87056080103264,0.112572440298075,0.060181118002649,-19.3081615649799,-40.6014803740523,1.02219444618007,0.892776563296201,0.121185446568149,0.495552785445327,0.0600537856022821
"288","RO1-101-A17","RR","La_Romaine",NA,50.44429,-63.22397,6.230690680875,0.531254753474522,0.0479410393193819,1.87145181011388,0.0826566408605395,0.0441671222383811,NA,NA,NA,0.813687243541473,0.226486739216016,NA,NA
"289","RO1-101-A17","RR","La_Romaine",NA,50.44429,-63.22397,6.230690680875,0.531254753474522,0.0479410393193819,1.87145181011388,0.0826566408605395,0.0441671222383811,NA,NA,NA,0.813687243541473,0.226486739216016,NA,NA
"290","RO1-101-A18","RR","La_Romaine",NA,NA,NA,5.55227946235136,0.524850084037679,0.049040001370216,1.6136828196519,0.126153126314153,0.0781771515305381,NA,NA,NA,NA,NA,NA,NA
"291","RO1-102-A18","RR","La_Romaine",NA,50.44828,-63.24767,5.53802459320898,0.529623754340456,0.0411813082926527,1.8127351136372,0.114410157291479,0.0631146583032302,NA,NA,NA,NA,NA,NA,NA
"292","RO1-102-A18","RR","La_Romaine",NA,50.44828,-63.24767,5.53802459320898,0.529623754340456,0.0411813082926527,1.8127351136372,0.114410157291479,0.0631146583032302,NA,NA,NA,NA,NA,NA,NA
"293","RO1-103-A18","RR","La_Romaine",NA,50.38835,-63.2336,6.18424828542202,0.397951022637328,0.216162524641521,1.73694104477397,0.162660342782367,0.0936475899811175,NA,NA,NA,NA,NA,NA,NA
"294","RO1-103-A18","RR","La_Romaine",NA,50.38835,-63.2336,6.18424828542202,0.397951022637328,0.216162524641521,1.73694104477397,0.162660342782367,0.0936475899811175,NA,NA,NA,NA,NA,NA,NA
"295","RO1-104-A18","RR","La_Romaine",NA,50.40269,-63.24253,7.9752622825584,0.442612803389867,0.153992707692881,1.49473563595155,0.28080525148523,0.187862819840025,NA,NA,NA,NA,NA,NA,NA
"296","RO1-104-A18","RR","La_Romaine",NA,50.40269,-63.24253,7.9752622825584,0.442612803389867,0.153992707692881,1.49473563595155,0.28080525148523,0.187862819840025,NA,NA,NA,NA,NA,NA,NA
"297","RO1-105-A18","RR","La_Romaine",NA,50.40642,-63.22191,5.71492422002159,0.513339451886759,0.0786672416676674,1.30399162503018,0.148799105458693,0.114110476327062,NA,NA,NA,0.945533623063402,0.663616485046558,NA,NA
"298","RO1-105-A18","RR","La_Romaine",NA,50.40642,-63.22191,5.71492422002159,0.513339451886759,0.0786672416676674,1.30399162503018,0.148799105458693,0.114110476327062,NA,NA,NA,0.945533623063402,0.663616485046558,NA,NA
"299","RO1-106-A18","RR","La_Romaine",NA,50.41447,-63.23677,NA,0.547016893387812,0.0310053324811284,1.31319418116135,0.127620613596258,0.0971833529473871,NA,NA,NA,0.92460166202991,0.197785742615647,NA,NA
"300","RO1-106-A18","RR","La_Romaine",NA,50.41447,-63.23677,NA,0.547016893387812,0.0310053324811284,1.31319418116135,0.127620613596258,0.0971833529473871,NA,NA,NA,0.92460166202991,0.197785742615647,NA,NA
"301","RO1-107-A18","RR","La_Romaine",NA,50.42464,-63.22656,NA,0.521610641720264,0.072355123217344,1.45066399845078,0.146203665081696,0.100783961853215,NA,NA,NA,0.810540333569291,0.111440104700502,NA,NA
"302","RO1-107-A18","RR","La_Romaine",NA,50.42464,-63.22656,NA,0.521610641720264,0.072355123217344,1.45066399845078,0.146203665081696,0.100783961853215,NA,NA,NA,0.810540333569291,0.111440104700502,NA,NA
"303","RO1-108-A18","RR","La_Romaine",NA,50.42945,-63.21962,5.6542581618699,0.549266219039928,0.0364582011767708,1.90324891936439,0.124607294615859,0.0654708342918555,-19.2381240801237,-47.685329729295,1.02987164488507,0.77905439174215,0.234641808498195,0.13104970569134,0.0307497399465721
"304","RO1-108-A18","RR","La_Romaine",NA,50.42945,-63.21962,5.6542581618699,0.549266219039928,0.0364582011767708,1.90324891936439,0.124607294615859,0.0654708342918555,-19.2381240801237,-47.685329729295,1.02987164488507,0.77905439174215,0.234641808498195,0.13104970569134,0.0307497399465721
"305","RO1-108-HYPO-A18","RR","La_Romaine",NA,50.42945,-63.21962,5.50304039610596,0.556716736301139,0.0187035133646152,1.81620471581847,0.123486079733048,0.0679912779972051,-23.6250143607035,-34.8217666867583,1.01160070952659,1.98412896155173,0.209456262790071,1.44631095837572,0.302938888173706
